nan,nan,nan,-0.06027816,3.275406,4.7068743e-06,,,
nan,nan,nan,-0.067017,3.2285686,1.991105e-07,,,
nan,nan,nan,-0.06292419,3.206277,6.63624e-08,,,
nan,nan,nan,-0.0578333,3.169239,1.73319e-08,,,
nan,nan,nan,-0.05887495,3.137844,2.0753237e-08,,,
nan,nan,nan,-0.020473635,3.138855,0.0016381952,,,
nan,nan,nan,-0.036461357,3.1347053,0.00040634378,,,
0.0,0.0,0.0,-0.045908198,3.1079717,0.0060763345,0.0,0.0,0.0
0.0,0.0,0.0,-0.058014743,3.0806386,0.0007603661,0.0,0.0,0.0
0.0,0.0,0.0,-0.046300817,3.0537376,0.0001847269,0.0,0.0,0.0
0.0,0.0,0.0,-0.059936736,3.0628183,0.00010986642,0.0,0.0,0.0
0.0,0.0,0.0,-0.05795723,3.0389435,4.2928103e-05,0.0,0.0,0.0
0.0,0.0,0.0,-0.06775253,3.0384777,3.3679524e-05,0.0,0.0,0.0
0.0,0.0,0.0,-0.021801835,3.0478568,0.00031053653,0.0,0.0,0.0
0.0,0.0,0.0,-0.045525122,3.034504,0.0010676625,0.0,0.0,0.0
-0.45,0.0,-1.0,-0.06674732,2.9914203,0.009114862,-1.0,0.0,-0.45
-0.45,0.0,-1.0,-0.080029815,2.9643533,0.0011425532,-1.0,0.0,-0.45
-0.45,0.0,-1.0,-0.062062416,2.9609232,0.0017321658,-1.0,0.0,-0.45
-0.45,0.0,-1.0,-0.058324058,2.973369,0.0038611547,-1.0,0.0,-0.45
-0.45,0.0,-1.0,-0.059399795,2.9358695,0.0015877292,-1.0,0.0,-0.45
-0.45,0.0,-1.0,-0.06676174,2.8973346,0.0049126525,-1.0,0.0,-0.45
-0.45,0.0,-1.0,-0.073770635,2.8707128,0.0033676003,-1.0,0.0,-0.45
-0.1,1.0,-1.0,-0.09243996,2.893219,0.0012571499,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.06986084,2.9409027,0.0021488478,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.07629289,2.9261491,0.0013041116,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.075424165,2.9115822,0.0010688535,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.07380281,2.9057283,0.0015994087,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.080366,2.8894026,0.0007452465,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.05569083,2.8704765,0.0019167791,-1.0,1.0,-0.1
-0.1,1.0,-1.0,-0.07054004,2.875031,0.001676449,-1.0,1.0,-0.1
0.025,1.0,-1.0,-0.07493472,2.8478098,0.0018294108,-1.0,1.0,0.025
0.025,1.0,-1.0,-0.06947052,2.8223681,0.0011471477,-1.0,1.0,0.025
0.025,1.0,-1.0,-0.07376222,2.863239,0.00050198915,-1.0,1.0,0.025
0.025,1.0,-1.0,-0.045492396,2.8346052,0.0026633919,-1.0,1.0,0.025
0.025,1.0,-1.0,-0.09983408,2.7951376,0.0002833085,-1.0,1.0,0.025
0.025,1.0,-1.0,-0.090173095,2.8046925,0.00017198893,-1.0,1.0,0.025
0.025,1.0,-1.0,-0.060432076,2.7453163,0.00059561676,-1.0,1.0,0.025
-0.18,1.0,-2.0,-0.05205979,2.7799532,0.00039552027,-2.0,1.0,-0.18
-0.18,1.0,-2.0,-0.048342526,2.75391,0.001665982,-2.0,1.0,-0.18
-0.18,1.0,-2.0,-0.07131037,2.749996,0.00037461414,-2.0,1.0,-0.18
-0.18,1.0,-2.0,-0.05818808,2.7364466,0.001782391,-2.0,1.0,-0.18
-0.18,1.0,-2.0,-0.054518126,2.754421,0.0016364757,-2.0,1.0,-0.18
-0.18,1.0,-2.0,-0.07406096,2.7437196,0.0006712374,-2.0,1.0,-0.18
