30,nan,nan,nan,,,
300,nan,nan,nan,,,
510,nan,nan,nan,,,
720,nan,nan,nan,,,
930,nan,nan,nan,,,
1140,nan,nan,nan,,,
1350,nan,nan,nan,,,
1560,nan,nan,nan,,,
1770,nan,nan,nan,,,
1980,nan,nan,nan,,,
2190,nan,nan,nan,,,
2400,nan,nan,nan,,,
2610,nan,nan,nan,,,
2820,nan,nan,nan,,,
3030,nan,nan,nan,,,
3240,nan,nan,nan,,,
3440,nan,nan,nan,,,
3650,nan,nan,nan,,,
3860,nan,nan,nan,,,
4070,nan,nan,nan,,,
4280,nan,nan,nan,,,
4490,nan,nan,nan,,,
4710,nan,nan,nan,,,
4920,nan,nan,nan,,,
5130,nan,nan,nan,,,
5340,nan,nan,nan,,,
5550,nan,nan,nan,,,
5760,nan,nan,nan,,,
5970,nan,nan,nan,,,
6190,nan,nan,nan,,,
6400,nan,nan,nan,,,
6610,nan,nan,nan,,,
6820,nan,nan,nan,,,
7030,nan,nan,nan,,,
7240,nan,nan,nan,,,
7460,nan,nan,nan,,,
7670,nan,nan,nan,,,
7880,nan,nan,nan,,,
8080,nan,nan,nan,,,
8290,nan,nan,nan,,,
8500,nan,nan,nan,,,
8710,nan,nan,nan,,,
8920,-35.0,-35.0,-35.0,-20.0,-15.0,-17.5
9130,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
9340,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
9550,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
9760,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
9970,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
10180,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
10390,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
10600,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
10810,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
11020,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
11230,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
11440,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
11650,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
11860,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
12070,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
12280,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
12490,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
12700,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
12910,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
13120,-27.0,-18.0,-35.0,-20.0,-6.0,-13.5
