4000,nan,nan,nan,-0.038532075,3.2805886,0.015877359,,,
8000,nan,nan,nan,-0.044306863,3.257422,0.009084532,,,
12000,-14.333333333333334,-7.0,-20.0,-0.046228312,3.2367187,0.0061387243,-12.0,0.0,-7.166666666666667
16000,-14.333333333333334,-7.0,-20.0,-0.051816046,3.2035768,0.006729828,-12.0,0.0,-7.166666666666667
20000,-15.166666666666666,-7.0,-20.0,-0.05513657,3.1907058,0.007737492,-12.0,0.0,-7.583333333333333
24000,-15.166666666666666,-7.0,-20.0,-0.0665801,3.1727407,0.005738736,-12.0,0.0,-7.583333333333333
28000,-15.777777777777779,-7.0,-20.0,-0.07117602,3.1514895,0.007969112,-12.0,0.0,-7.888888888888889
32000,-15.777777777777779,-7.0,-20.0,-0.07212504,3.1335728,0.011559567,-12.0,0.0,-7.888888888888889
36000,-16.3,-7.0,-21.0,-0.0855192,3.1120658,0.011730047,-15.0,0.0,-8.15
40000,-18.833333333333332,-7.0,-37.0,-0.08704107,3.0947175,0.012445034,-24.0,0.0,-9.416666666666666
44000,-18.833333333333332,-7.0,-37.0,-0.09416294,3.0769644,0.011148916,-24.0,0.0,-9.416666666666666
48000,-20.4,-7.0,-37.0,-0.09863262,3.0551894,0.0072225756,-24.0,0.0,-10.2
52000,-20.4,-7.0,-37.0,-0.08854858,3.0461638,0.009427858,-24.0,0.0,-10.2
56000,-19.444444444444443,-7.0,-37.0,-0.09635145,3.0410774,0.007901633,-24.0,0.0,-9.722222222222221
60000,-19.444444444444443,-7.0,-37.0,-0.101377726,3.0179327,0.00989468,-24.0,0.0,-9.722222222222221
64000,-19.904761904761905,-7.0,-37.0,-0.10046463,3.0072327,0.0072208242,-24.0,0.0,-9.952380952380953
68000,-19.904761904761905,-7.0,-37.0,-0.09397436,3.0017395,0.006235404,-24.0,0.0,-9.952380952380953
72000,-19.09090909090909,-2.0,-37.0,-0.09707182,2.996122,0.0044654435,-24.0,0.0,-9.545454545454545
76000,-18.541666666666668,-2.0,-37.0,-0.09077882,2.9850214,0.0052686264,-24.0,0.0,-9.270833333333334
80000,-18.541666666666668,-2.0,-37.0,-0.093991436,2.9655027,0.008266524,-24.0,0.0,-9.270833333333334
84000,-18.185185185185187,-2.0,-37.0,-0.0935688,2.963153,0.00896518,-24.0,0.0,-9.092592592592593
88000,-18.185185185185187,-2.0,-37.0,-0.10374351,2.9375174,0.009613398,-24.0,0.0,-9.092592592592593
92000,-18.5,-2.0,-37.0,-0.1001791,2.9238765,0.009780701,-24.0,0.0,-9.25
96000,-18.5,-2.0,-37.0,-0.10715687,2.9169836,0.008461837,-24.0,0.0,-9.25
100000,-18.363636363636363,-2.0,-37.0,-0.09766391,2.915524,0.008351821,-24.0,0.0,-9.181818181818182
104000,-18.363636363636363,-2.0,-37.0,-0.10811114,2.8939164,0.00961171,-24.0,0.0,-9.181818181818182
108000,-18.323529411764707,-2.0,-37.0,-0.11057078,2.8938508,0.0070841587,-24.0,0.0,-9.161764705882353
112000,-18.666666666666668,-2.0,-37.0,-0.102553,2.868987,0.00753361,-24.0,0.0,-9.333333333333334
116000,-18.666666666666668,-2.0,-37.0,-0.09729956,2.873633,0.0061593396,-24.0,0.0,-9.333333333333334
120000,-18.71794871794872,-2.0,-37.0,-0.09372902,2.8658805,0.0051491484,-24.0,0.0,-9.35897435897436
124000,-18.71794871794872,-2.0,-37.0,-0.08783417,2.8494766,0.00737741,-24.0,0.0,-9.35897435897436
128000,-18.404761904761905,-2.0,-37.0,-0.096499585,2.8282933,0.009335902,-24.0,0.0,-9.202380952380953
132000,-18.404761904761905,-2.0,-37.0,-0.10098481,2.8388789,0.0064632175,-24.0,0.0,-9.202380952380953
136000,-18.377777777777776,-2.0,-37.0,-0.10196473,2.825035,0.008307163,-24.0,0.0,-9.188888888888888
140000,-18.377777777777776,-2.0,-37.0,-0.10582047,2.8158133,0.007522702,-24.0,0.0,-9.188888888888888
144000,-18.41304347826087,-2.0,-37.0,-0.10603888,2.8244758,0.009378793,-24.0,0.0,-9.206521739130435
148000,-18.5625,-2.0,-37.0,-0.10377911,2.8035202,0.0087462645,-24.0,0.0,-9.28125
152000,-18.5625,-2.0,-37.0,-0.10240959,2.7932634,0.009014875,-24.0,0.0,-9.28125
156000,-18.431372549019606,-2.0,-37.0,-0.10834214,2.7994266,0.007969167,-24.0,0.0,-9.215686274509803
160000,-18.431372549019606,-2.0,-37.0,-0.10330186,2.7941651,0.0057332898,-24.0,0.0,-9.215686274509803
164000,-18.24074074074074,-2.0,-37.0,-0.10374539,2.7926483,0.004184391,-24.0,0.0,-9.12037037037037
168000,-18.24074074074074,-2.0,-37.0,-0.102894224,2.7694,0.008590242,-24.0,0.0,-9.12037037037037
172000,-18.19298245614035,-2.0,-37.0,-0.09839514,2.7685487,0.0065011405,-24.0,0.0,-9.096491228070175
176000,-18.19298245614035,-2.0,-37.0,-0.09756503,2.749131,0.0052652718,-24.0,0.0,-9.096491228070175
180000,-18.03448275862069,-2.0,-37.0,-0.10330138,2.7451863,0.008187194,-24.0,0.0,-9.017241379310345
184000,-18.183333333333334,-2.0,-37.0,-0.10047318,2.7410724,0.006003503,-24.0,0.0,-9.091666666666667
188000,-18.183333333333334,-2.0,-37.0,-0.09731913,2.7094386,0.011652634,-24.0,0.0,-9.091666666666667
192000,-18.22222222222222,-2.0,-37.0,-0.0992527,2.69681,0.009245149,-24.0,0.0,-9.11111111111111
196000,-18.22222222222222,-2.0,-37.0,-0.10263508,2.7171443,0.0070579527,-24.0,0.0,-9.11111111111111
